# id	источник	заголовок	АДРЕС	КАСАЕТСЯ	КЛАСС	ЦИТАТА
V0001	teorkat-vvedenie/repeticia/akt-1-razbor.md	Порядок работы на репетиции: сначала наговариваю рассказ, потом комментирую	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 35–35	процедура	замечание	стоп. Слайд 4. Да, с такой скоростью, конечно. Слайд 4. Сначала наговариваю, что
V0703	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Дети не умеют организовать полный перебор: повернули картинку и считают её другой	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#⭐ ГЛАВНОЕ ДЛЯ Л2 — приём владельца: как честно перебрать все случаи, строки 191–191	структура лекции	замечание	повернули картинку на 90° и считают, что это другая ломаная
V0704	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Приём, который трудно сделать руками, надо показать в HTML — придумать визуализацию	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#⭐ ГЛАВНОЕ ДЛЯ Л2 — приём владельца: как честно перебрать все случаи, строки 199–199	визуал	замечание	«легко сказать, а сложно сделать. **Может быть, это как раз легко показать в HTML** — надо к завтрашнему дню придумать визуализацию этой штуки»
V0705	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Повторно: обязательно визуализация — как можно больше картинок и разборы с визуализациями	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#⭐ ГЛАВНОЕ ДЛЯ Л2 — приём владельца: как честно перебрать все случаи, строки 219–219	визуал	замечание	**обязательно визуализация — как можно больше картинок и разборы задач с визуализациями**
V0706	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Форма показа — интерактивный виджет, а не статичная серия картинок	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер) — ⭐ ВИДЖЕТ «СТРЕЛКА + ТОЧКА» СОБРАН, строки 225–225	визуал	замечание	форма — **интерактивный виджет**, не статичная серия
V0707	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Добор — отдельный мини-листок на пять лёгких задач, старый листок дети дорешивают	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер) — ⭐ ВИДЖЕТ «СТРЕЛКА + ТОЧКА» СОБРАН, строки 225–225	структура лекции	замечание	**отдельный мини-листок на 5 лёгких задач**
V0708	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Складывание в анимации должно идти последовательно, как в жизни	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 2) — ВКЛАДКИ РАЗБОРОВ + найдено расхождение в нумерации задач, строки 253–253	визуал	замечание	в жизни же так происходит
V0709	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Картинка объясняет, что надо сделать, и не вскрывает ответ	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 2) — ВКЛАДКИ РАЗБОРОВ + найдено расхождение в нумерации задач, строки 254–254	визуал	замечание	Картинка объясняет, что надо сделать, и не вскрывает ответ.
V0710	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Ядро показывать только после того, как порешают сами	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 2) — ВКЛАДКИ РАЗБОРОВ + найдено расхождение в нумерации задач, строки 255–255	процедура	замечание	**только после того, как порешают сами**: картинка сразу подсказывает
V0711	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Полировку визуала делать там, где видно рендер	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 2) — ВКЛАДКИ РАЗБОРОВ + найдено расхождение в нумерации задач, строки 270–270	процедура	замечание	тебе это будет сложно, лучше отправить в Claude Code — он может смотреть сразу
V0712	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Сложная часть — не разборы, а найти и придумать задачи	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 2) — ВКЛАДКИ РАЗБОРОВ + найдено расхождение в нумерации задач, строки 272–272	процедура	спорное	их надо найти, придумать, разобрать
V0713	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Подпись налезает на чёрный текст	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 4) — СТРАНИЦА ПЕРЕСОБРАНА ПО КАНОНУ. Скруглённый угол заведён в словарь, строки 294	визуал	замечание	«вдоль стрелки» налезает на чёрный текст
V0714	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Очень много текстов, в том числе прямо на рисунках — в фабрике прописано, что так делать не надо	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 4) — СТРАНИЦА ПЕРЕСОБРАНА ПО КАНОНУ. Скруглённый угол заведён в словарь, строки 294	визуал	замечание	«у тебя очень много текстов, в том числе прямо на рисунках; у нас есть на эту тему очень чёткие рекомендации в фабрике — там прописано, что так делать не надо»
V0715	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Условия задач на экран показа не помещал бы вовсе	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 4) — СТРАНИЦА ПЕРЕСОБРАНА ПО КАНОНУ. Скруглённый угол заведён в словарь, строки 294	визуал	замечание	условия бы не помещал вовсе
V0716	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Кнопки «показать разбор» не всегда нужны — что видно, то видно	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 4) — СТРАНИЦА ПЕРЕСОБРАНА ПО КАНОНУ. Скруглённый угол заведён в словарь, строки 294	визуал	замечание	кнопки «показать разбор» не всегда нужны (касания и так видны)
V0717	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Управление показом — всё по пробелу, интуитивно	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 4) — СТРАНИЦА ПЕРЕСОБРАНА ПО КАНОНУ. Скруглённый угол заведён в словарь, строки 294	визуал	замечание	всё по пробелу, интуитивно
V0718	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Всё на один экран	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 4) — СТРАНИЦА ПЕРЕСОБРАНА ПО КАНОНУ. Скруглённый угол заведён в словарь, строки 294	визуал	замечание	всё на один экран
V0719	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Углы сгладить дугами, как рисуют кривую дракона обычно	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 4) — СТРАНИЦА ПЕРЕСОБРАНА ПО КАНОНУ. Скруглённый угол заведён в словарь, строки 294	визуал	замечание	сгладить углы дугами, как рисуют кривую дракона обычно — тогда перестанет себя пересекать
V0720	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Главное — убрать лишнее	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 4) — СТРАНИЦА ПЕРЕСОБРАНА ПО КАНОНУ. Скруглённый угол заведён в словарь, строки 294	визуал	замечание	«главное — убрать лишнее»
V0721	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Смотреть референсы фабрики, чего в них нет — добавлять	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 4) — СТРАНИЦА ПЕРЕСОБРАНА ПО КАНОНУ. Скруглённый угол заведён в словарь, строки 294	процедура	замечание	смотреть референсы фабрики, чего нет — добавлять
V0722	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Прозаические подписи на рисунках (прецедент catalan): некрасиво и непонятно	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 4) — СТРАНИЦА ПЕРЕСОБРАНА ПО КАНОНУ. Скруглённый угол заведён в словарь, строки 296	визуал	замечание	«некрасиво выглядят и непонятно обычно»
V0723	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Не хватает анимации — разницу надо ВИДЕТЬ, по статичным картинкам её не видно	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 5) — АНИМАЦИИ. Плюс поправка к памяти владельца, строки 312–312	визуал	замечание	на 6 не хватает анимации — надо ВИДЕТЬ, как два разных разворота дают разные картинки
V0724	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Непонятно, что происходит, и «пропадают куски, как будто поверх белые полосы»	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 5) — АНИМАЦИИ. Плюс поправка к памяти владельца, строки 312–312	визуал	замечание	на 8 вообще непонятно, что происходит, и «пропадают куски, как будто поверх белые полосы»
V0725	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Не хватает анимации с лентой (второй раз про ту же нехватку)	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 5) — АНИМАЦИИ. Плюс поправка к памяти владельца, строки 312–312	визуал	замечание	на 4 не хватает анимации с лентой
V0726	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Вид ленточки нигде не использован	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 5) — АНИМАЦИИ. Плюс поправка к памяти владельца, строки 312–312	визуал	замечание	«вид ленточки нигде не использован»
V0727	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Побольше анимации	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 5) — АНИМАЦИИ. Плюс поправка к памяти владельца, строки 312–312	визуал	замечание	побольше анимации
V0728	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Обе модели углов нужны вместе: круглые — что не пересекается, квадратные — что имеется в виду	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 5) — АНИМАЦИИ. Плюс поправка к памяти владельца, строки 312–312	визуал	замечание	«с закруглением видно, что нет самопересечений, с квадратиками понятнее, что имеется в виду — лучше иметь обе»
V0729	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Переходы мгновенные — везде должно быть медленнее и плавнее	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 6) — ⚠⚠ ЛЕНТА: ширина — это ВИД. Главная находка хода, строки 328–328	визуал	замечание	переход из «трёхмерной» в двумерную происходит мгновенно — **везде должно быть медленнее и плавнее**
V0730	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Вкладка буквально не работает: появляется то, чего не было	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 6) — ⚠⚠ ЛЕНТА: ширина — это ВИД. Главная находка хода, строки 328–328	визуал	замечание	вкладка 4 буквально не работает: лента вся красная, разворачивается в красную кривую, и вдруг появляется чёрная, которой не было
V0731	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Устройство объекта должно быть видно ДО превращения, и превращение — с зависанием	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 6) — ⚠⚠ ЛЕНТА: ширина — это ВИД. Главная находка хода, строки 328–328	визуал	замечание	«она должна реально состоять из двух частей, это должно быть видно на трёхмерной картинке; должно зависнуть и, повисев, плавно превратиться»
V0732	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Показывать надо само действие (перевернуть пакет до разворота), в нём и задача	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 6) — ⚠⚠ ЛЕНТА: ширина — это ВИД. Главная находка хода, строки 328–328	визуал	замечание	на 7 анимации нет, там просто отражение — а надо **перевернуть ПАКЕТ до разворота, в этом и задача**
V0733	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Показываешь сразу результат	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 6) — ⚠⚠ ЛЕНТА: ширина — это ВИД. Главная находка хода, строки 328–328	визуал	замечание	на 8 «показываешь сразу результат»
V0734	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	По умолчанию — прямые углы: с круглыми анимация часто работает плохо	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 7) — финальные правки. Гейт поймал ДВЕ мои неверные попытки подряд, строки 349–349	визуал	замечание	«анимация с круглыми часто работает плохо, с квадратными лучше, поэтому сначала показывать квадратные»
V0735	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Картинка прыжком переносится в другой угол экрана — убрать	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 7) — финальные правки. Гейт поймал ДВЕ мои неверные попытки подряд, строки 349–349	визуал	замечание	на вкладке 4 картинка **прыжком переносится в другой угол экрана** — убрать
V0736	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Занятие 2 — целиком плоскость занятия 1, без нового языка	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 8) — мини-листок Л2. Заказ оказался пустым множеством, владелец поймал повтор первы	структура лекции	спорное	Без слова: Л2 — целиком плоскость Л1
V0737	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Смущает повторение задач — предложенное уже есть в листке	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 8) — мини-листок Л2. Заказ оказался пустым множеством, владелец поймал повтор первы	структура лекции	замечание	третья задача — буквально та, которая у нас уже есть… четвёртая тоже у нас есть в листке… и пятая как будто бы есть… меня смущает это повторение задач
V0738	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Число задач не догма: пяти совершенно не обязательно, хватит четырёх	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 8) — мини-листок Л2. Заказ оказался пустым множеством, владелец поймал повтор первы	структура лекции	замечание	пять задач совершенно не обязательно, можно и четыре оставить
V0739	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	То, что делается командой, в репозитории хранить не надо	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-17 (вечер, ход 9) — .gitignore. Владелец слил два разных PDF в один; вес оказался обратным аргумен	процедура	спорное	pdf наверное не нужно, потому что мы его делаем из markdown
V0740	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Листки катим дальше в том же малом формате, старые задачи остаются в игре	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-18 — Л2 ПРОВЕДЁН. Зона доехала в git. Хэндофф: листок про слово + разбор слова владельцу, строки 4	структура лекции	замечание	листки катим дальше в том же малом формате
V0741	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Разбор собирать штатным путём: markdown → генератор → HTML, как всегда	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 11) — Л3 «Слово» СОБРАН. Машинная сверка поймала, что крышка П18 была про другого дракона,	процедура	замечание	собрать markdown → генератор → HTML, как всегда
V0742	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Адская подсказка в условии — убрать ссылку и подсказку, оставить оригинальное условие	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 12) — владелец разнёс формулировки листка. Правило курса: абстрактно, без подсказок, без м	текст	замечание	адская подсказка в 23 — не нужна ссылка на 21, и подсказка, что делать; убери, оставь оригинальное условие
V0743	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Две задачи гоняют одно и то же слово — так делать не надо	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 12) — владелец разнёс формулировки листка. Правило курса: абстрактно, без подсказок, без м	текст	замечание	в 18 и 19 одно и то же слово, не нужно так делать
V0744	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Не пиши сам нигде слова, проси доказывать абстрактные утверждения	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 12) — владелец разнёс формулировки листка. Правило курса: абстрактно, без подсказок, без м	текст	замечание	не пиши сам нигде слова, проси доказывать абстрактные утверждения
V0745	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Не привязывайся к конкретным словам, спрашивай абстрактно	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 12) — владелец разнёс формулировки листка. Правило курса: абстрактно, без подсказок, без м	текст	замечание	не привязывайся к конкретным словам, спрашивай абстрактно
V0746	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Если задач станет меньше — ничего страшного	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 12) — владелец разнёс формулировки листка. Правило курса: абстрактно, без подсказок, без м	структура лекции	замечание	если задач станет меньше — ничего страшного
V0747	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Картинка в листке, возможно, не нужна	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 12) — владелец разнёс формулировки листка. Правило курса: абстрактно, без подсказок, без м	визуал	замечание	картинка возможно не нужна
V0748	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Мутный вопрос заменить прямым заданием: попроси написать	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 13) — ХЭНДОФФ. Задача 17 переформулирована, документы сведены, даты выправлены, строки 500	текст	спорное	что значит вопрос "одно ли это слово"? лучше попроси написать все слова для кривых ранга 3 и 4
V0749	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Развилка последнего занятия: листок или всё время на разбор	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 13) — ХЭНДОФФ. Задача 17 переформулирована, документы сведены, даты выправлены, строки 508	структура лекции	замечание	пора делать последний листок — хотя они сдали немного, и в принципе можно потратить всё время на разбор
V0750	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Сильно далеко давать не стал бы	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 14) — развилка закрыта: листка нет, Л4 = показ про слово + мастерская. База отбора собрана	структура лекции	замечание	сильно далеко давать я бы не стал
V0751	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Словесные разборы не нужны — нужен тот html, где картинки и анимации	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 14) — развилка закрыта: листка нет, Л4 = показ про слово + мастерская. База отбора собрана	визуал	замечание	нам не нужно вот эти словесные разборы, я всё понимаю про эти задачи… у нас есть конкретный файл другой html который я показываю… там для каких-то задач первого листка конкретных избранных были просто картинки, анимации — надо вот этот файл поднять и попробовать его проработать
V0752	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Заказ на сессию: подумать над базой и подобрать, что делать на последнем занятии	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 14) — развилка закрыта: листка нет, Л4 = показ про слово + мастерская. База отбора собрана	процедура	спорное	подумать над базой и над тем, что можно делать на последнем занятии, попробовать подобрать
V0753	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	В файле показа порядок — правильный (по номерам), листать он будет как удобно	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 15) — показ про слово СОБРАН, шесть вкладок. Растризатор соврал, и это чуть не стало «прав	структура лекции	замечание	механику обсуждать не обязательно, можно сделать разбор; только лучше всё-таки в правильном порядке, показывать может буду в другом
V0754	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Два слова вышли одинаковыми, а должны быть инвертированы	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 16) — владелец разнёс четыре вкладки из шести. Общий диагноз: я показывал результат вместо	визуал	спорное	в 18 получилось два одинаковых слова, а они должны быть инвертированы
V0755	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Хотелось бы видеть, как объекты объединяются в пары	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 16) — владелец разнёс четыре вкладки из шести. Общий диагноз: я показывал результат вместо	визуал	спорное	в 19 хотелось бы видеть разбиения на пары, как красные и голубые повороты объединяются
V0756	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Вообще ничего не понятно — нужна картинка, объясняющая почему	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 16) — владелец разнёс четыре вкладки из шести. Общий диагноз: я показывал результат вместо	визуал	замечание	по 20 вообще ничего не понятно (почему буквы на местах через 1 дают кривую ранга на 1 меньше? нужна картинка)
V0757	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Нужна индуктивная конструкция, где видно переход от n к n+1, а не проверка одного случая	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 16) — владелец разнёс четыре вкладки из шести. Общий диагноз: я показывал результат вместо	визуал	замечание	21 не понятно — должна быть индуктивная конструкция, где видно, что если нет 4 букв в слове ранга n, то и в слове ранга n+1
V0758	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Вообще не понятно	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 16) — владелец разнёс четыре вкладки из шести. Общий диагноз: я показывал результат вместо	визуал	замечание	«22 вообще не понятно»
V0759	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Что ещё делаем, кроме разбора: список условий и что показать на проекторе	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 17) — условия 23–29 и ещё четыре вкладки. Занятие завтра, строки 583–583	процедура	замечание	что мы ещё делаем завтра, кроме разбора? напиши список условий. возможно листок всё же понадобится. если нужно ещё что-то показать на проекторе, надо добавить в html
V0760	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	При двенадцати школьниках и проекторе можно вывести условие на слайд	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 17) — условия 23–29 и ещё четыре вкладки. Занятие завтра, строки 585–585	процедура	замечание	что значит все семь? у нас 12 школьников, можно вывести что-то на слайд
V0761	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Отбор показа за владельцем: посмотреть на все и выбрать самое подходящее	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 17) — условия 23–29 и ещё четыре вкладки. Занятие завтра, строки 590–590	процедура	замечание	нужно посмотреть на все и выбрать самое подходящее
V0762	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Ещё семь задач в таком формате не хотим — это был второй листок	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 18) — я собрал второй листок, которого мы решили не делать. Заказан был ПОКАЗ КРАСИВОГО, с	структура лекции	замечание	мы не хотели же давать задачки кроме разбора… ещё 7 задач в таком формате мы не хотим, это был второй листок
V0763	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Хотели посмотреть красивое все вместе: замощение, бесконечность, размерность — чисто визуал	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 18) — я собрал второй листок, которого мы решили не делать. Заказан был ПОКАЗ КРАСИВОГО, с	визуал	замечание	мы хотели посмотреть на какие-то штуки все вместе — например, как несколько кривых дракона замощают плоскость; вообще как устроена кривая дракона, когда мы идём к бесконечности; может быть даже что-то про фрактальную размерность границы, на уровне чисто визуала
V0764	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Замысел занятия: сначала решают своё, потом разбор, потом красивые картинки	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 18) — я собрал второй листок, которого мы решили не делать. Заказан был ПОКАЗ КРАСИВОГО, с	структура лекции	замечание	40–60 минут дети решают то, что уже на руках
V0765	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Условие не понял; если бы понял, наверное, понравилась	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 18) — я собрал второй листок, которого мы решили не делать. Заказан был ПОКАЗ КРАСИВОГО, с	текст	спорное	не понял условие; если бы понял, наверное, понравилась
V0766	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Термин употреблён без определения — такого определения раньше не было	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 18) — я собрал второй листок, которого мы решили не делать. Заказан был ПОКАЗ КРАСИВОГО, с	текст	замечание	если драконом, то имеется в виду, когда мы все в одну сторону загибаем? у нас раньше не было такого определения
V0767	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Задача выброшена как повтор: она буквально из первого листка	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 18) — я собрал второй листок, которого мы решили не делать. Заказан был ПОКАЗ КРАСИВОГО, с	структура лекции	замечание	мы все первые три листка складывали полоску как попало, и эта задача буквально про 2ⁿ⁻², она из первого листка
V0768	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Там, где задача продолжает другую, ссылка нужна	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 18) — я собрал второй листок, которого мы решили не делать. Заказан был ПОКАЗ КРАСИВОГО, с	текст	замечание	нужно сослаться на 24
V0769	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Листок бессмысленно делать в HTML — нужен PDF в нашем стандартном формате, на печать	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 19) — листок всё-таки нужен, но БУМАГОЙ. И задача 23 была непонятна не случайно, строки 63	процедура	замечание	листок нужен всё-таки в нашем формате. HTML бессмысленно делать листок, должно быть PDF в нашем стандартном формате, я его тогда распечатаю
V0770	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Условие не читается второй раз подряд: так и не понял	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 19) — листок всё-таки нужен, но БУМАГОЙ. И задача 23 была непонятна не случайно, строки 63	текст	замечание	я всё-таки ничего не понял про 23-ю задачу, если честно. Так и не понял
V0771	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Определение кривой — вне задачи, в шапке, и рядом картинки разных рангов	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 20) — задача убрана, определение вынесено в шапку. Листок 23–26, строки 656–656	структура лекции	замечание	Лучше определить кривую дракона вне задачи и нарисовать картинки для разных рангов
