# id	ЧИСЛО	АДРЕС	ЦИТАТА
V0002	27 минут репетиции на 4 слайда — темп прохода дека	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 38–38	запись уже, к сожалению, 27 минут, хотя мы всего на четвертом слайде
V1072	1,5 часа вместо 2 — длительность лекции	_studio/zhurnal/2026-07-30_dovodka-fabriki/SESSIYA.md### 2026-07-31, ~19:10 — владелец снял сборку лекции и назвал настоящую цель: ПОЛНОТА внесения, строка 409	полтора часа вместо двух
V1075	~2 страницы — ожидаемый объём мат-каркаса курса	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-21 — заход из штаба, строки 8–10	«мат-каркас крошечный (~2 стр)»
V1080	шесть часов — объём курса, названный «много»	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-21 — Фаза 1 закрыта: разведка + интервью, гейт владельца пройден, строки 23–23	«шесть часов — это много; вопрос не успеваем ли, а можем ли мотивировать»
V1082	1:3 — пропорция формальной теории к распаковке	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-21 — Фаза 1 закрыта: разведка + интервью, гейт владельца пройден, строки 27–27	1:3 у Ловера — мерка ГОДНОЙ распаковки
V1083	полсотни утверждений — контр-гипотеза владельца к его же «мало»	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-21 — Фаза 1 закрыта: разведка + интервью, гейт владельца пройден, строки 30–30	(«мало» владельца против названной им же контр-гипотезы «полсотни»)
V1095	десятки внешних утверждений против «маленького» внутреннего	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-21 — владелец объяснил рамку: деление ВНУТРЕННЕЕ / ВНЕШНЕЕ, а не «костяк / примеры», строки 102–110	потом внешнее собирается со всех сторон и его будут десятки
V1102	«ещё половина отваливается» — доля списка, снимаемая принципом двойственности	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-21 — владелец оспорил результат по существу: список не иерархизирован, и «мяса» мало не случайно, стро	«Многие переговариваются и сводятся друг к другу; условно, произведение — это терминальный объект в какой-то категории, и по модулю этого единственность уже доказана раньше; то же про каррирование; плюс раз доказан принц
V1104	полчаса доказательств суммарно (при курсе на шесть часов)	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-21 — владелец оспорил результат по существу: список не иерархизирован, и «мяса» мало не случайно, стро	«Доказательств суммарно на полчаса — куда делось всё остальное?»
V1105	первые три лекции — окно сравнения с чужими курсами	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-21 — владелец оспорил результат по существу: список не иерархизирован, и «мяса» мало не случайно, стро	посмотреть в записки реальных курсов (условный MIT) — сколько содержательных утверждений они доказывают в первых трёх лекциях
V1113	три доказательства на шесть часов курса	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-21 — ПРИЁМКА Ф3 (`kod_zamykanie.md`): принят. Главный итог 3→4, но настоящий результат — не число, стр	«три доказательства на шесть часов — неловко же»
V1118	четыре содержательных утверждения на шесть часов курса	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-21 — владелец принял все четыре решения. Главный итог 3 → 5, строки 258–271	объяснение принято, но ощущение странности осталось
V1125	порог охвата — «до сопряжений»	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-23 — ВЕРСИЯ 2 ОТКРЫТА кикоффом штаба; вход аналитика; гейт БРИФа сделан двухступенчатым, строки 466–46	открыть из книг список понятий и утверждений под потолок «до сопряжений»
V1126	две ступени гейта; живой образец на 3–4 блоках	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-23 — ВЕРСИЯ 2 ОТКРЫТА кикоффом штаба; вход аналитика; гейт БРИФа сделан двухступенчатым, строки 466–47	**Решение владельца 23.07: гейт БРИФ-фазы двухступенчатый.**
V1128	173 упражнения — решения хранить не обязательно и не для всех	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-23 — БРИФ ступень-1 (эскиз): ГЕЙТ «направление верное» ПРОЙДЕН, четыре решения владельца, строки 476–4	«Не искать и не писать все решения»
V1139	5–10 правок вида	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-24 (утро) — ФИДБЕК ВЛАДЕЛЬЦА по виду собранного документа → заход `kod_navigacija.md` (9 решений), стр	«5–10 решений, которые легко внести и сделать текст гораздо более читаемым»
V1140	80% — целевая доля «хорошего вида»	_studio/zhurnal/2026-07-21_mat-kostyak/SESSIYA.md#2026-07-24 (утро) — ФИДБЕК ВЛАДЕЛЬЦА по виду собранного документа → заход `kod_navigacija.md` (9 решений), стр	(«привести хотя бы на 80% к хорошему виду»)
V1141	полтора часа (90 минут) на лекцию — объявлено избытком; 9 × 90 = 13.5 часов курса	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 (22:40) — ХЭНДОФФ. Две поправки владельца снимают «дыру №2»; арка «Программа» уже живёт парал	Полтора часа на лекцию — это МНОГО
V1147	темп 3/5 (CCC к 3-й лекции, LCCC к 5-й) — принят как цель вместо гипотезы 4/8	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 (19:30) — калибровка, ЛШСМ, темп: три решения владельца, строки 103–103	При этом сохранить понятность и простоту, наглядность и элегантность
V1150	возраст ядра зала 35+	_studio/zhurnal/2026-07-16_teorkat-landshaft/SESSIYA.md#2026-07-16 — ПЕРВОИСТОЧНИК: основание арки переписано, строки 70–70	Ядро — программисты 35+, не математики
V1153	меньше 50 слайдов на лекцию	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 вечер — ПРИЁМКА захода `kod_uborka-konspekta.md`: ПРИНЯТ, строки 21–21	56 слайдов против «меньше 50»
V1154	меньше 50 слайдов · около 30 слайдов «вывезем»	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 вечер — ПРИЁМКА захода `kod_uborka-konspekta.md`: ПРИНЯТ, строки 33–33	56 слайдов против «меньше 50» и против «около 30 вывезем»
V1156	полминуты на слайд-перебивку · 30 слайдов как единица счёта	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 поздний вечер — разбор конспекта владельцем и второй заход, строки 41–41	цена такого слайда — полминуты. Это не считается за один из 30 слайдов
V1157	30 слайдов (со сценами) и 50 слайдов (без) — две разные единицы	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 поздний вечер — разбор конспекта владельцем и второй заход, строки 41–41	относилось к слайдам со сценами
V1158	материал на 1,5 часа уложился в 1 час	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 поздний вечер — разбор конспекта владельцем и второй заход, строки 41–41	вчера зал перестал задавать вопросы — материал на полтора часа рассказан за час
V1162	потолок лекции 120 минут	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-28 ночь — ПРИЁМКА захода `kod_upakovka.md` (№3): ПРИНЯТ, строки 97–97	186 минут против 120
V1163	10 примеров = 2 минуты (счёт по слайду, не по блокам)	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#2026-07-29 ночь — ПРИЁМКА захода `kod_razrez.md` (№4): ПРИНЯТ, строки 113–113	десять примеров вместе стоят две минуты
V1164	4 акта, распределение 9 · 7 · 8 · 8 · плюс три слайда-разделителя = 35 слайдов	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#🔴 Решение владельца по итогам разреза: ЧЕТЫРЕ АКТА, не пять, строки 125–125	провал в середине снимается
V1168	55 уже сверстанных слайдов	_studio/zhurnal/2026-07-28_konspekt-l1/SESSIYA.md#Ночная цепочка продлена: заходы №8 и №9, строки 181–181	хочется воспользоваться тем, что 55 слайдов уже сверстаются, и не хочется их выбрасывать
V1169	главы Riehl 51 стр. / Mac Lane 24 / Awodey 28 против реальной лекции Altenkirch 6 стр.	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — широкая мерка снята → `MERKA-pervaya-lekcia.md`, строки 10–10	поправка Вани верна, меру нельзя брать в лоб с главы
V1170	5–7 доказательств на лекцию названы избыточными	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	Я не думаю, что 5–7 доказательств осмысленно… не уверен, что должно быть много доказательств
V1171	5–7 доказательств — нижняя граница	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	5–7 звучит нормально, меньше — мало
V1173	~30 коротких примеров на лекцию (против предложенных аналитиком 10–12)	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	суммарно коротких примеров штук 30
V1180	11 класс — калибровочная точка зала	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — разворот владельца (доза + рамка L1 + источники) [durable, прецедент #14: вкус владельца = решение	сильный мат-класс, 11 кл.
V1187	40 минут — столько наберёт предложенный материал вместо полной лекции	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 48–48	терминальный объект скучноват, лекция кончится за 40 мин
V1190	1.5–2 часа на лекцию	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 49–49	Формат лекции — 1.5–2 часа
V1191	~2–3 лекции на всё введение; реальная первая ВЫРЕЗАЕТСЯ из него	_studio/zhurnal/2026-07-18_teorkat-l1/SESSIYA.md#2026-07-18 — РЕДИРЕКТ владельца: не «L1», а идеальное ВВЕДЕНИЕ в теоркат [durable, крупный], строки 49–49	это как раз мои три лекции
V1210	три конкурирующие мотивации к одному факту — признак, что мотивации нет ни одной (стр. 53–	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 49–54	**Р-Д. Правило номер ноль: мотивация всегда одна — найти правильный разрез.**
V1212	72 сцены — не влезают (при объёме лекции 90 минут)	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 68–72	Решение владельца при сверке объёма: 72 сцены не влезали.
V1217	языков четыре, а не три (стр. 109)	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 109–110	Последний для детей самостоятельный язык, молча схлопывать нельзя.
V1219	1, потом 2, потом 3 — не сразу 4 (длина примера в вопросе в зал)	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 113–114	По нарастающей длине: 1, потом 2, потом 3 — не сразу 4.
V1220	одна упакованная идея на формулу	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 115–116	7. Нетривиальная формула — с подписью-переводом и одной упакованной идеей.
V1221	одна мысль = один слайд	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строка 117	**Слайд — это мысль.** Одна мысль в двух видах — сцены, а не два слайда.
V1223	эталон 17 слайдов / 46 сцен, 2,7 сцены на слайд, максимум 5 — уже предел (стр. 123–124)	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 123–125	Владелец: Бюфон уже плотный, места на бота там нет.
V1224	32 → 27 → 21 → 17 → 15 слайдов; итог 15 слайдов и 42 сцены на 90 минут	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строка 127	Траектория объёма за сессию: 32 слайда (черновик) → 27 → 21 → 17 → **15 слайдов, 42 сцены**.
V1225	~750 знаков в текстовой колонке живого слайда; корпус-эталон 400–900 знаков	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### Запись 27.07, вечер — от концепта до прочитанной лекции за один день, строки 147–150	скриншотом живого слайда владельца (~750 знаков в текстовой колонке)
V1226	50 минут против запланированных 90	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### Запись 27.07, вечер — от концепта до прочитанной лекции за один день, строки 160–162	**Лекция уложилась в 50 минут вместо 90.** Габарит сверялся по числу слайдов и сцен, и по
V1228	100 шагов в постановке, 10 в выкладках; буквенная формула ровно одна	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### Запись 27.07, вечер — от концепта до прочитанной лекции за один день, строки 164–166	через факториалы, всё остальное на конкретных числах (100 шагов в постановке,
V1235	полтора-два часа — объём, который отменён	_studio/zhurnal/2026-07-30_dovodka-l1/SESSIYA.md### 2026-07-30 ~04:35 — 🔴 ЖАНР ПЕРЕОПРЕДЕЛЁН ВЛАДЕЛЬЦЕМ. Это отменяет часть только что принятой работы, строка 3	нам это не нужно слайды на полтора-на два часа. Мы хотим делать слайды, которые сейчас уже постфактум выложим в интернет, чтобы их прочитали. Мы не делаем новую версию лекции — мы делаем слайд-конспекты к старой лекции, 
V1239	второй слайд — место, где обязано появиться главное слово	_studio/zhurnal/2026-07-30_dovodka-l1/SESSIYA.md### 2026-07-30 ~05:00 — РАЗБОР ОПРОСНИКА ПРОТИВ НОВЫХ РЕШЕНИЙ + порция 1 живого опроса, строка 60	слово „функториальность“ должно появляться практически на втором слайде
V1243	десять примеров — перебор	_studio/zhurnal/2026-07-30_dovodka-l1/SESSIYA.md### 2026-07-30 ~05:00 — РАЗБОР ОПРОСНИКА ПРОТИВ НОВЫХ РЕШЕНИЙ + порция 1 живого опроса, строка 71	Десять примеров, может быть, перебор. На тех же примерах, которые здесь есть, — про них поговорить подробнее, как это работает, картинки.
V1245	один финал вместо двух	_studio/zhurnal/2026-07-30_dovodka-l1/SESSIYA.md### 2026-07-30 ~05:00 — РАЗБОР ОПРОСНИКА ПРОТИВ НОВЫХ РЕШЕНИЙ + порция 1 живого опроса, строка 77	про резюме не могу сказать… я думаю, что у нас один финал
V1246	один слайд на одно определение	_studio/zhurnal/2026-07-30_dovodka-l1/SESSIYA.md### 2026-07-30 ~05:00 — РАЗБОР ОПРОСНИКА ПРОТИВ НОВЫХ РЕШЕНИЙ + порция 1 живого опроса, строка 78	и аккуратно сказать про вид — что такое вид, прямо потратив на это слайд
V1249	второй слайд — место композиции	_studio/zhurnal/2026-07-30_dovodka-l1/SESSIYA.md### 2026-07-30 ~05:00 — РАЗБОР ОПРОСНИКА ПРОТИВ НОВЫХ РЕШЕНИЙ + порция 1 живого опроса, строка 110	потому что люди не понимали — задавали вопрос, как их компонировать, что их можно компонировать. Это тоже очень важно.
V1255	две аудитории обслуживаются одновременно	_studio/zhurnal/2026-07-30_dovodka-l1/SESSIYA.md### 2026-07-30 ~05:00 — РАЗБОР ОПРОСНИКА ПРОТИВ НОВЫХ РЕШЕНИЙ + порция 1 живого опроса, строка 122	Аудитория — это сильные матшкольники и студенты, и им не нужно объяснять, что такое биекция, но на лекции такие вопросы задавались
V1256	50 слайдов в одной части — много	_studio/zhurnal/2026-07-30_dovodka-l1/SESSIYA.md### 2026-07-30 ~17:00 — реакция владельца на план: ЧИСЛО ЭКРАНОВ ОСПОРЕНО + четыре ответа, строка 182	Ты хочешь сделать 50 слайдов в этой части? Как будто бы много очень
V1257	конкретное $n=7$ — $\binom 72$ и $\binom 75$ вместо общего $n$	_studio/zhurnal/2026-07-30_dovodka-l1/SESSIYA.md### 2026-07-30 ~17:00 — реакция владельца на план: ЧИСЛО ЭКРАНОВ ОСПОРЕНО + четыре ответа, строка 188	где-то у нас есть понятный заказ на иллюстрацию — например, там, где мы объясняем про
V1268	фигура играется трижды — три тождества, три арены, те же арены как объекты (стр. 220)	_studio/zhurnal/2026-07-30_dovodka-l1/SESSIYA.md### 2026-07-30, поздний вечер — СПИСОК СЛАЙДОВ собран за 7 редакций и ЛЕНТА ПЕРЕЛОЖЕНА, строка 220	имя падает последним, а обобщение мотивируется не сложностью, а МНОЖЕСТВЕННОСТЬЮ
V1269	50 → 23 → 16 → 17 → 14 → 15 слайдов за семь редакций; в деке 13	_studio/zhurnal/2026-07-30_dovodka-l1/SESSIYA.md### 2026-07-30, поздний вечер — СПИСОК СЛАЙДОВ собран за 7 редакций и ЛЕНТА ПЕРЕЛОЖЕНА, строка 218	Числа по редакциям: машинный план 50 → ред. 2 — 23 → ред. 3 — 16 → ред. 4 — 17 → ред. 6 — 14 → **ред. 7 — 15** (сейчас в деке 13).
V1284	10 → 20+ единиц (карточек-героев) в артефакте	_studio/zhurnal/2026-07-20_vvedenie-sborka/SESSIYA.md### 2026-07-21 — хэндофф в новый чат; переопределение задачи (мета-слой), строки 112–112	10 — мало, надо больше (20+)
V1316	11 класс матшколы / 1 курс — точка калибровки зала	_studio/zhurnal/2026-07-20_osnovanie-vvedenie/SESSIYA.md### 2026-07-20 — ЗАЛ НАЗНАЧЕН · заморозка подтверждена · заведён `OSNOVANIE.md`, строки 23–23	математически сильного, формально неподготовленного** (одиннадцатиклассник матшколы / первокурсник)
V1317	35+ лет — возраст части зала, которая не задаёт низ калибровки	_studio/zhurnal/2026-07-20_osnovanie-vvedenie/SESSIYA.md### 2026-07-20 — ЗАЛ НАЗНАЧЕН · заморозка подтверждена · заведён `OSNOVANIE.md`, строки 23–23	принято явно, что часть материала потребует от них дополнительного погружения
V1320	1 лекция — объём, названный на звонке 18.07	_studio/zhurnal/2026-07-20_osnovanie-vvedenie/SESSIYA.md### 2026-07-20 — ЗАЛ НАЗНАЧЕН · заморозка подтверждена · заведён `OSNOVANIE.md`, строки 32–32	сейчас на мне — только
V1321	3 лекции, ~6 реальных часов — объём курса	_studio/zhurnal/2026-07-20_osnovanie-vvedenie/SESSIYA.md### 2026-07-20 — ЗАЛ НАЗНАЧЕН · заморозка подтверждена · заведён `OSNOVANIE.md`, строки 32–32	«три лекции, ~6 реальных часов, потолок CCC». Второе — планирование владельца
V1322	3 лекции, допуск до 4 — объём курса	_studio/zhurnal/2026-07-20_osnovanie-vvedenie/SESSIYA.md### 2026-07-20 — ЗАЛ НАЗНАЧЕН · заморозка подтверждена · заведён `OSNOVANIE.md`, строки 34–34	три лекции считаем решёнными, с допуском растянуться на четыре
V1323	10 — столько микроарок было предложено собрать одним ходом, и именно это отклонено; законн	_studio/zhurnal/2026-07-28_teksty-l1/SESSIYA.md#2026-07-27 — вход, форма микроарки, первая микроарка отбита, строки 12–12	не пытайся собрать их сразу 10… ты мне сначала посмотри на список внешних сюжетов, список внутренних, сопоставь по параллелям и мостам, предложи какую-нибудь ОДНУ микроарку. Мы обсудим, посмотрим как она устроена, потом 
V1324	2–5 слайдов в микроарке; 3–4 минуты на слайд	_studio/zhurnal/2026-07-28_teksty-l1/SESSIYA.md#2026-07-27 — вход, форма микроарки, первая микроарка отбита, строки 14–14	ПЕРЕСКАЗ — дневник называет это «решение владельца, durable» и перечисляет: «Два законных рода (ЦЕПЬ / АЛЬМАНАХ), 2–5 слайдов, слайд = 3–4 минуты и может содержать сцены, обязательные название и анонс (для нас, но говори
V1329	два больших раздела (в фиксируемом финале)	_studio/zhurnal/2026-07-28_teksty-l1/SESSIYA.md#2026-07-27 — четыре решения владельца: блок на Л2, порядок цепи, порядок Брауэра, старт с финала, строки 35–35	я бы здесь даже сделал два больших раздела с каким-то количеством подразделов в каждом
V1330	раздел ≈ 15–20 мин; 7–8 разделов на два часа	_studio/zhurnal/2026-07-28_teksty-l1/SESSIYA.md#2026-07-27 — четыре решения владельца: блок на Л2, порядок цепи, порядок Брауэра, старт с финала, строки 35–35	ПЕРЕСКАЗ — записано в том же пункте решений владельца: «Раздел ≈ 15–20 мин, всего на два часа ожидается 7–8 разделов»; у раздела есть анонс и функция в драматургии («первый ставит вопросы, второй является заключением»)
V1333	один подраздел за один ход	_studio/zhurnal/2026-07-28_teksty-l1/SESSIYA.md#2026-07-27 — финал зафиксирован, раздел про естественность снят, сессия закрыта, строки 45–45	ПЕРЕСКАЗ — «Требование владельца на дальнейшее: **по одному подразделу за ход, с математикой.**»
V1343	1 текст = 1 лекция; девять текстов вместо пяти	_studio/zhurnal/2026-07-16_teorkat-programma/SESSIYA.md#2026-07-16 — владелец забраковал обзор 1. Разбор, строки 35–35	ПЕРЕСКАЗ — «Решение владельца: один текст = одна лекция», причина: «темп стал вдвое плотнее, и всё остальное посыпалось следом. Девять текстов вместо пяти»
V1351	9 обзоров против предложенных 3	_studio/zhurnal/2026-07-16_teorkat-programma/SESSIYA.md#2026-07-16 — модель работы: Claude ошибся с «урезать до трёх», строки 52–52	ПЕРЕСКАЗ — Claude вписал «девять обзоров к 17-му не выйдет, лучше три хороших»; «Владелец не согласился, и он прав; строка снята»
V1354	~2–3 знакомых задачи на ученика; ~10 задач в листке — нормально	_studio/zhurnal/2026-07-13_l3-kodirovanie/SESSIYA.md#2026-07-13 — старт (хэндофф из закрытой арки Л2), строки 10–10	ПЕРЕСКАЗ — «задачам не хватило СВЕЖЕСТИ — в среднем ~2–3 на ученика знакомы, задачу про лампочки #60900 знали ВСЕ. Число задач не проблема (~10 ок) — проблема известность»
V1355	≥3 простые гарантированно неизвестные задачи	_studio/zhurnal/2026-07-13_l3-kodirovanie/SESSIYA.md#2026-07-13 — старт (хэндофф из закрытой арки Л2), строки 10–10	ПЕРЕСКАЗ — «Запрос владельца: собрать **большой пул**, из которого он сам выберет, и в нём обязательно **≥3 простые ГАРАНТИРОВАННО неизвестные** задачи; свежесть-ядро — из **иностранных/непереведённых** источников»
V1360	7 мало; ~10–12 задач, оптимум 10	_studio/zhurnal/2026-07-13_l3-kodirovanie/SESSIYA.md#2026-07-13 — обратная связь по листку v1 (из 7) → пересборка v2 (~10, вокруг двоичной записи), строки 34–34	ПЕРЕСКАЗ — «**7 мало → ~10–12** (оптимум 10)»
V1361	>30 мин — под вопросом, держат ли столько шестиклассники	_studio/zhurnal/2026-07-13_l3-kodirovanie/SESSIYA.md#2026-07-13 — обратная связь по листку v1 (из 7) → пересборка v2 (~10, вокруг двоичной записи), строки 34–34	ПЕРЕСКАЗ — «лекцию длиннее (6 кл держат >30 мин? — вводную дозировать)»
V1364	4 однотипные задачи — перебор, нужна одна линия	_studio/zhurnal/2026-07-13_l3-kodirovanie/SESSIYA.md#2026-07-13 — обратная связь по v2 → РАДИКАЛЬНАЯ пересборка v3 (листок = пересказ статьи Клепцына в задачах)	ПЕРЕСКАЗ — «первые задачи (2/3/4) дублируют друг друга (все «представь число двоичной записью»), №1 — самая общая, остальные — частные того же → не 4 однотипных, а ОДНА логичная линия»
V1375	1 страница листка	_studio/zhurnal/2026-07-13_l3-kodirovanie/SESSIYA.md#2026-07-13 — правки листка (∗ убраны, «шифр Васи», 7–8 на стр.2), строки 55–55	ПЕРЕСКАЗ — «**ИТОГ (владелец решил):** всё на ОДНУ страницу, ОДНОСТОРОННЯЯ печать (оборот карточек чист сам собой — двусторонняя возня не нужна)»
